title,speaker,url,month,year
What crows teach us about death,Kaeli Swift,/talks/kaeli_swift_what_crows_teach_us_about_death?language=en,Oct,2020
The race to net-zero emissions by 2050 is on. Can we count you in?,"Miao Wang, Alok Sharma and Nigel Topping",/talks/miao_wang_alok_sharma_and_nigel_topping_the_race_to_net_zero_emissions_by_2050_is_on_can_we_count_you_in?language=en,Oct,2020
How to foster productive and responsible debate,Ishan Bhabha,/talks/ishan_bhabha_how_to_foster_productive_and_responsible_debate?language=en,Oct,2020
How to decarbonize the grid and electrify everything,John Doerr and Hal Harvey,/talks/john_doerr_and_hal_harvey_how_to_decarbonize_the_grid_and_electrify_everything?language=en,Oct,2020
Can you outsmart a troll (by thinking like one)?,Claire Wardle,/talks/claire_wardle_can_you_outsmart_a_troll_by_thinking_like_one?language=en,Oct,2020
The case for stubborn optimism on climate,Christiana Figueres,/talks/christiana_figueres_the_case_for_stubborn_optimism_on_climate?language=en,Oct,2020
The power of venom — and how it could one day save your life,Mandë Holford,/talks/mande_holford_the_power_of_venom_and_how_it_could_one_day_save_your_life?language=en,Oct,2020
What the Irish wake teaches us about living and dying,Kevin Toolis,/talks/kevin_toolis_what_the_irish_wake_teaches_us_about_living_and_dying?language=en,Oct,2020
What if there were 1 trillion more trees?,Jean-François Bastin,/talks/jean_francois_bastin_what_if_there_were_1_trillion_more_trees?language=en,Oct,2020
Climate change is becoming a problem you can taste,Amanda Little,/talks/amanda_little_climate_change_is_becoming_a_problem_you_can_taste?language=en,Oct,2020
Can you outsmart the fallacy that started a witch hunt?,Elizabeth Cox,/talks/elizabeth_cox_can_you_outsmart_the_fallacy_that_started_a_witch_hunt?language=en,Oct,2020
What if a US presidential candidate refuses to concede after an election?,Van Jones,/talks/van_jones_what_if_a_us_presidential_candidate_refuses_to_concede_after_an_election?language=en,Oct,2020
Can we create vaccines that mutate and spread?,Leor Weinberger,/talks/leor_weinberger_can_we_create_vaccines_that_mutate_and_spread?language=en,Oct,2020
How to lead in a crisis,Amy C. Edmondson,/talks/amy_c_edmondson_how_to_lead_in_a_crisis?language=en,Oct,2020
On time and water,Andri Snær Magnason,/talks/andri_snaer_magnason_on_time_and_water?language=en,Oct,2020
How to reduce the wealth gap between Black and white Americans,Kedra Newsom Reeves,/talks/kedra_newsom_reeves_how_to_reduce_the_wealth_gap_between_black_and_white_americans?language=en,Oct,2020
How to be a good ancestor,Roman Krznaric,/talks/roman_krznaric_how_to_be_a_good_ancestor?language=en,Oct,2020
Why children stay silent following sexual violence,Kristin Jones,/talks/kristin_jones_why_children_stay_silent_following_sexual_violence?language=en,Oct,2020
The hidden treasures of Timbuktu,Elizabeth Cox,/talks/elizabeth_cox_the_hidden_treasures_of_timbuktu?language=en,Oct,2020
What it takes to create social change against all odds,Ralph Nader,/talks/ralph_nader_what_it_takes_to_create_social_change_against_all_odds?language=en,Oct,2020
